years,恋愛,ファンタジー,文芸,SF,ノンジャンル,その他
2004,1.0,1.0,0.0,1.0,276.0,0.0
2005,11.0,8.0,14.0,0.0,1341.0,4.0
2006,48.0,56.0,55.0,3.0,3733.0,17.0
2007,124.0,115.0,224.0,36.0,7675.0,49.0
2008,135.0,196.0,319.0,67.0,8770.0,84.0
2009,208.0,264.0,493.0,116.0,10685.0,177.0
2010,598.0,522.0,849.0,148.0,16921.0,344.0
2011,1109.0,1133.0,1416.0,222.0,23869.0,675.0
2012,1765.0,1774.0,1867.0,400.0,31296.0,1224.0
2013,2480.0,2677.0,2771.0,564.0,35221.0,1974.0
2014,3521.0,4395.0,4154.0,920.0,40763.0,3191.0
2015,5036.0,6830.0,6618.0,1279.0,42040.0,5002.0
2016,10924.0,16440.0,17344.0,2981.0,14689.0,11882.0
2017,15234.0,23065.0,25394.0,3789.0,0.0,17159.0
2018,15776.0,23851.0,26510.0,4019.0,0.0,17570.0
2019,16608.0,24031.0,26928.0,4011.0,0.0,19197.0
2020,19742.0,25753.0,30060.0,4470.0,0.0,20643.0
2021,22313.0,24970.0,30614.0,4030.0,0.0,22801.0
2022,14723.0,15264.0,19643.0,2462.0,0.0,14850.0
