years,異世界恋愛,現実恋愛,ハイファン,ローファン,純文学,人間ドラマ,歴史,推理,ホラー,アクション,コメディー,VRゲーム,宇宙,空想科学,パニック,ノンジャンル,童話,詩,エッセイ,リプレイ,その他
2004,0.0,0.0035842293906810036,0.0,0.0035842293906810036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035842293906810036,0.0,0.989247311827957,0.0,0.0,0.0,0.0,0.0
2005,0.000725689404934688,0.00725689404934688,0.00362844702467344,0.0021770682148040637,0.000725689404934688,0.0021770682148040637,0.000725689404934688,0.0,0.000725689404934688,0.000725689404934688,0.0050798258345428155,0.0,0.0,0.0,0.0,0.9731494920174165,0.0,0.000725689404934688,0.0,0.0,0.0021770682148040637
2006,0.001278118609406953,0.010991820040899795,0.00408997955010225,0.010224948875255624,0.001278118609406953,0.004601226993865031,0.0005112474437627812,0.0007668711656441718,0.0023006134969325155,0.0007668711656441718,0.003834355828220859,0.0,0.0,0.0007668711656441718,0.0,0.9542433537832311,0.0007668711656441718,0.0007668711656441718,0.0005112474437627812,0.0,0.0023006134969325155
2007,0.0010944910616563297,0.013985163565608659,0.007783047549556123,0.006202116016052536,0.0015809315335035875,0.005472455308281649,0.0013377112975799586,0.0010944910616563297,0.004013133892739876,0.0009728809436945154,0.012769062385990515,0.00036483035388544326,0.0006080505898090721,0.003161863067007175,0.00024322023592362885,0.9333576553569257,0.0021889821233126595,0.0009728809436945154,0.00036483035388544326,0.0,0.0024322023592362883
2008,0.002925504127050465,0.011179605056942848,0.010134782154424826,0.01034374673492843,0.002298610385539651,0.008672030090899592,0.002925504127050465,0.0027165395465468603,0.006791348866367151,0.0013582697732734302,0.00856754780064779,0.00020896458050360465,0.0015672343537770348,0.003970327029568488,0.0012537874830216278,0.9163096855083064,0.0014627520635252325,0.0006268937415108139,0.0008358583220144186,0.0,0.00585100825410093
2009,0.0034329732897931844,0.01398308632671858,0.01105249937201708,0.01105249937201708,0.004437745959976556,0.00845683664071004,0.0020932763962153563,0.0031817801222473415,0.009377878255044795,0.003014318010550113,0.010717575148622625,8.373105584861426e-05,0.0015071590052750565,0.00787071924976974,0.00025119316754584274,0.8946663317424433,0.0034329732897931844,0.0025956627313070417,0.002260738507912585,0.0,0.006531022356191912
2010,0.00985450417913528,0.020998864926220204,0.016097409968011556,0.01083479517077701,0.004024352492002889,0.015168713239087814,0.0028376844494892167,0.002424930347745331,0.007739139407697864,0.0019089877205654732,0.009699721390981323,0.0004127541017438861,0.0011866680425136726,0.005623774636260448,0.0004127541017438861,0.873026519451037,0.002786090186771231,0.0020637705087194302,0.0027344959240532454,0.0,0.010164069755443195
2011,0.012278356318603996,0.026737967914438502,0.023606811145510834,0.016253869969040248,0.0050661412890515055,0.01449479313256403,0.003271882915845764,0.0021812552772305094,0.00826766113143822,0.0025330706445257528,0.01400225161835069,0.0007739938080495357,0.001125809175344779,0.005206867435969603,0.0007036307345904869,0.8397481001970166,0.003060793695468618,0.003764424430059105,0.0032015198423867154,3.5181536729524345e-05,0.01368561778778497
2012,0.015498617126754684,0.030553671137087096,0.02964045295621771,0.01664666283984762,0.005166205708918228,0.012863330376245891,0.00279183843865783,0.00279183843865783,0.010228043625737097,0.003209309607055263,0.011663100767103272,0.002583102854459114,0.001461149089391014,0.005870688305588895,0.0005218389604967907,0.816573605385378,0.008297239471898973,0.005270573501017586,0.0032354015550801023,2.6091948024839534e-05,0.01510723790638209
2013,0.01834219799943091,0.035940201807954125,0.03611530632346182,0.022479042178300174,0.006653971589292359,0.01652548865103859,0.0038304112767307986,0.00372097095453849,0.011447457701315472,0.004574605467638496,0.013898920918423183,0.0026922319259307897,0.0015978287040077047,0.007332501586884672,0.0007223061264692364,0.7709195175870598,0.012388644472169325,0.011053472541423161,0.004749709983146191,6.566419331538512e-05,0.014949548011469346
2014,0.022847007586400674,0.038985670132059565,0.0496803877493678,0.027500702444506885,0.008868361899409946,0.01989674065748806,0.00449564484405732,0.004039055914582748,0.012626440011239111,0.005022478224220287,0.018000140488901376,0.002967828041584715,0.002353189098061253,0.009518123068277606,0.0013170834504074179,0.7158436358527677,0.014277184602416408,0.013223517842090474,0.009360073054228715,0.0005970778308513628,0.01857965720708064
2015,0.03222812663722775,0.0431554524361949,0.06703091085996557,0.035206945587905096,0.01182546216600554,0.025731606915650025,0.006721053813337325,0.004640371229698376,0.02088167053364269,0.006301923508719407,0.02296235311728164,0.003906893196617019,0.0027991916772696656,0.010657884888855624,0.0017813037946261508,0.6292942145049023,0.013112790958760572,0.023890427363221316,0.012543971259636254,0.0006885712147294364,0.024638874335753312
2016,0.05496902774037167,0.09213573929437113,0.15325882036089417,0.06812550498249394,0.03048747643415028,0.0829248586049017,0.010126582278481013,0.01077295987072448,0.0322111500134662,0.023862106113654726,0.04317263668192836,0.009776461082682467,0.004834365741987611,0.020266630756800432,0.0052652841368165905,0.19780500942633988,0.01762725558847293,0.05029625639644492,0.03347697279827633,0.0008483705898195529,0.057756531106921624
2017,0.06858378327288193,0.1113999125719214,0.1922945144787987,0.08020935480440922,0.03465223709549745,0.11682281636559115,0.011342021006368072,0.013551352181566853,0.03755862997837927,0.03488852919979679,0.05120449900166586,0.009747049302347563,0.005080280242435699,0.023038480169185145,0.006899729445540577,0.0,0.018667076239647452,0.0727897827294101,0.04421025271440555,0.0005671010503184036,0.06649259814983283
2018,0.07356997925358502,0.10626268153113103,0.19426395823359097,0.0776166700864054,0.03716116088730821,0.11945147390739347,0.011718304721519275,0.013587761894991222,0.0396119736452135,0.032795294439504824,0.04786494311834576,0.01003123361375191,0.006360714041447234,0.02352780247589084,0.005893349748079247,0.0,0.01685931194856713,0.06396051341677496,0.05201422611312496,0.0009005311994163646,0.06654811572395869
2019,0.08460479206830074,0.09835307077939962,0.18930322225282292,0.07542825667860094,0.034580005508124484,0.1196695125309832,0.012294133847424952,0.011952630129440926,0.037543376480308456,0.02964472597080694,0.050961167722390524,0.008383365464059487,0.006543651886532636,0.023045992839438173,0.0062131644175158355,0.0,0.017394657119250895,0.06920407601211788,0.05450839988983751,0.0008702836684109061,0.069501514734233
2020,0.09490602773473199,0.10120395756347599,0.18370286486271706,0.07211825008940279,0.0424067230897604,0.11406802558906505,0.011632296260976676,0.011662097190765686,0.043121945404696625,0.025181785671712958,0.05053244327889697,0.011751499980132713,0.005533039297492748,0.02072157984662455,0.006397266261374022,0.0,0.022012953470814955,0.06278062542217984,0.05744625898994715,0.0009734970397743076,0.06184686295545754
2021,0.10645672599495837,0.10659995416698495,0.17019326254678788,0.06823390115346421,0.0438087235505309,0.11395233366434955,0.011964326636620578,0.012250782980673745,0.04436253914903369,0.02116912382552899,0.04481132075471698,0.008049423267893973,0.004965243296921549,0.019641356657245437,0.005824612329081048,0.0,0.020262012069360628,0.08113398518065847,0.05889542433733099,0.0008784661217630433,0.05654648231609503
2022,0.11498013205461444,0.10495652953302859,0.16170714947267784,0.0663111350123988,0.04520331032834394,0.10767530100684175,0.011771384183322877,0.016880284425323414,0.043694541543425655,0.02236264228735323,0.0458456574347943,0.007364584266977383,0.0051985300708075645,0.018374114905440532,0.005840877177257925,0.0,0.016073615966060172,0.07842610020614861,0.07115114576797825,0.0006423471064503601,0.05554061725075438
