datetime,posts
2004-04-30,1
2004-05-31,10
2004-06-30,21
2004-07-31,20
2004-08-31,52
2004-09-30,35
2004-10-31,41
2004-11-30,48
2004-12-31,51
2005-01-31,60
2005-02-28,88
2005-03-31,89
2005-04-30,101
2005-05-31,101
2005-06-30,102
2005-07-31,98
2005-08-31,133
2005-09-30,124
2005-10-31,134
2005-11-30,147
2005-12-31,201
2006-01-31,157
2006-02-28,170
2006-03-31,215
2006-04-30,227
2006-05-31,236
2006-06-30,305
2006-07-31,397
2006-08-31,430
2006-09-30,377
2006-10-31,412
2006-11-30,471
2006-12-31,515
2007-01-31,481
2007-02-28,495
2007-03-31,662
2007-04-30,682
2007-05-31,751
2007-06-30,721
2007-07-31,706
2007-08-31,679
2007-09-30,719
2007-10-31,745
2007-11-30,747
2007-12-31,835
2008-01-31,939
2008-02-29,816
2008-03-31,909
2008-04-30,756
2008-05-31,783
2008-06-30,645
2008-07-31,786
2008-08-31,797
2008-09-30,785
2008-10-31,798
2008-11-30,763
2008-12-31,794
2009-01-31,883
2009-02-28,905
2009-03-31,970
2009-04-30,941
2009-05-31,915
2009-06-30,877
2009-07-31,852
2009-08-31,1091
2009-09-30,933
2009-10-31,1289
2009-11-30,998
2009-12-31,1289
2010-01-31,1340
2010-02-28,1338
2010-03-31,1837
2010-04-30,1481
2010-05-31,1695
2010-06-30,1554
2010-07-31,1680
2010-08-31,1622
2010-09-30,1517
2010-10-31,1734
2010-11-30,1792
2010-12-31,1792
2011-01-31,1983
2011-02-28,2098
2011-03-31,2274
2011-04-30,2150
2011-05-31,2316
2011-06-30,2141
2011-07-31,2601
2011-08-31,2553
2011-09-30,2373
2011-10-31,2579
2011-11-30,2500
2011-12-31,2856
2012-01-31,2967
2012-02-29,3114
2012-03-31,3388
2012-04-30,2952
2012-05-31,3119
2012-06-30,2721
2012-07-31,3370
2012-08-31,3550
2012-09-30,3299
2012-10-31,3335
2012-11-30,3203
2012-12-31,3308
2013-01-31,3524
2013-02-28,3834
2013-03-31,3898
2013-04-30,3557
2013-05-31,3806
2013-06-30,3621
2013-07-31,3848
2013-08-31,4135
2013-09-30,3924
2013-10-31,3852
2013-11-30,3598
2013-12-31,4090
2014-01-31,4531
2014-02-28,4364
2014-03-31,4745
2014-04-30,4438
2014-05-31,4720
2014-06-30,4432
2014-07-31,4868
2014-08-31,5367
2014-09-30,4621
2014-10-31,4738
2014-11-30,4794
2014-12-31,5326
2015-01-31,5552
2015-02-28,5090
2015-03-31,5600
2015-04-30,5345
2015-05-31,5835
2015-06-30,5318
2015-07-31,6083
2015-08-31,6124
2015-09-30,5132
2015-10-31,5573
2015-11-30,5405
2015-12-31,5748
2016-01-31,6332
2016-02-29,6203
2016-03-31,6382
2016-04-30,5833
2016-05-31,6181
2016-06-30,6495
2016-07-31,6120
2016-08-31,6101
2016-09-30,6218
2016-10-31,6239
2016-11-30,5845
2016-12-31,6311
2017-01-31,6830
2017-02-28,6300
2017-03-31,6634
2017-04-30,6672
2017-05-31,7390
2017-06-30,7100
2017-07-31,7950
2017-08-31,7675
2017-09-30,7219
2017-10-31,7251
2017-11-30,6559
2017-12-31,7061
2018-01-31,8028
2018-02-28,7049
2018-03-31,7778
2018-04-30,6987
2018-05-31,7196
2018-06-30,6913
2018-07-31,7365
2018-08-31,7305
2018-09-30,6948
2018-10-31,7458
2018-11-30,7091
2018-12-31,7608
2019-01-31,7889
2019-02-28,7233
2019-03-31,8179
2019-04-30,7986
2019-05-31,8131
2019-06-30,7255
2019-07-31,8580
2019-08-31,7689
2019-09-30,6872
2019-10-31,7431
2019-11-30,6675
2019-12-31,6855
2020-01-31,7651
2020-02-29,7274
2020-03-31,8330
2020-04-30,9234
2020-05-31,10692
2020-06-30,8241
2020-07-31,8686
2020-08-31,9124
2020-09-30,7583
2020-10-31,7200
2020-11-30,7569
2020-12-31,9084
2021-01-31,9068
2021-02-28,7935
2021-03-31,8903
2021-04-30,8659
2021-05-31,9544
2021-06-30,8581
2021-07-31,9074
2021-08-31,9285
2021-09-30,8316
2021-10-31,8245
2021-11-30,7548
2021-12-31,9570
2022-01-31,8610
2022-02-28,8202
2022-03-31,8642
2022-04-30,8677
2022-05-31,9304
2022-06-30,8615
2022-07-31,9375
